"taxa","V1","V2","popID"
"33-16",-1.68331103328761,-4.97295726708675,3
"38-11",1.5982726891321,-4.79355679528446,3
"A188",-0.635342208992525,-4.95144250132172,3
"A214N",13.660962056091,0.693100977943252,3
"A239",0.561558383659436,-6.00820761570561,3
"A272",-3.76980338526657,2.68082919903081,2
"A441-5",-5.43555548857908,-0.178416470348302,3
"A554",0.975285480015999,-5.45158984661521,3
"A556",-0.493631220856332,-6.77291536845032,3
"A6",-10.5069298309492,10.4170582422102,2
"A619",0.0536334644618015,-15.6127955534861,3
"A632",19.6787194714575,-0.219948786599741,3
"A634",18.103120932872,0.310270727932511,3
"A635",18.6992875598595,-0.779485569681699,3
"A641",11.5359672951572,-3.93888492630912,3
"A654",0.322601588568656,-5.93637710180715,3
"A659",1.23898432750558,-5.47334801893291,3
"A661",-0.484983704769259,-5.04665519358709,3
"A679",30.1448278776965,13.2573104380381,1
"A680",35.9748905894537,16.2902840203952,1
"A682",-0.896615016355731,-8.56465217371717,3
"AB28A",-0.922027358989008,-2.61799083922817,3
"B10",15.2889181941642,-1.44236297562901,3
"B103",3.04359807584507,-5.12694401268114,3
"B104",21.4128420583099,4.70046675392064,3
"B105",8.41007020164172,-0.33218860850957,3
"B109",29.9390932255569,13.3891242769584,1
"B115",-0.787863646435917,-4.95300654165547,3
"B14A",25.3632362258611,0.801861175458763,3
"B164",2.33666547539603,-3.62234995576796,3
"B2",4.15367904497162,-4.09801892507395,3
"B37",14.4196918073939,0.000655546547248335,3
"B46",7.09623469450573,-7.03726561350516,3
"B52",2.00669586376653,-4.93654156283947,3
"B57",-0.380402999926597,-3.24318971838287,3
"B64",15.200416298771,0.937296805314022,3
"B68",19.7128878257789,-0.0628884345792717,3
"B73",38.7561590984645,18.0865292902437,1
"B73HTRHM",37.8708505900835,17.4243932990104,1
"B75",1.34271458534611,-6.56068310490152,3
"B76",12.8753695116956,-0.398757173467905,3
"B77",-1.83642928320538,-3.49336758098426,3
"B79",6.44306071953476,-4.35201579121455,3
"B84",21.7732749790227,4.72878428502927,3
"B97",2.54860843674811,-7.64093113382629,3
"C103",-4.06199883032734,-12.1472256845983,3
"C123",-2.38592234199828,-10.0428407672895,3
"C49A",-0.701053486225944,-4.77244042719146,3
"CH701-30",2.64805134028511,-5.10121667899306,3
"CH9",-1.591448894334,-3.98326579471038,3
"CI187-2",-4.36221808732006,-2.43542217071594,3
"CI21E",5.77984982336058,-0.422097226923823,3
"CI28A",0.883557065335774,-1.7418260455317,3
"CI31A",-0.540159980091318,-4.38991296975938,3
"CI3A",0.646114756786828,-3.46133638771105,3
"CI64",-3.21574633006443,-2.33359412265579,3
"CI66",-3.27823685372763,-1.87669242142223,3
"CI7",0.00737817022598236,-5.40895661573567,3
"CI90C",-1.99144862007634,-4.69071751021552,3
"CI91B",4.30824404588952,-2.7199261827439,3
"CM105",20.3993738826882,-0.30490749506945,1
"CM174",14.7645225999523,-2.45724323485496,3
"CM37",1.90000405597291,-8.85501812324222,3
"CM7",0.0211809422990538,-6.87591525454307,3
"CML10",-10.4338590473643,7.33235376614657,2
"CML103",-8.54384150843191,6.14294371850817,2
"CML108",-8.39690938078068,8.16659208838575,2
"CML11",-10.6969195178281,9.40689101792389,2
"CML14",-9.32030420258022,8.90734325392252,2
"CML154Q",-8.51112181859485,7.698569108327,2
"CML157Q",-9.88794726652006,7.25151374652443,2
"CML158Q",-9.8128226302649,8.28945925415464,2
"CML218",-10.0087670840092,7.12028212750308,2
"CML220",-7.61495900848822,7.70351134941928,2
"CML228",-10.9440017024905,7.90122405055991,2
"CML238",-8.97533831037032,9.81437340841864,2
"CML247",-10.0217077579738,6.04005129464688,1
"CML254",-11.5661745467207,9.17830752372863,2
"CML258",-11.087935429552,8.81420360222744,2
"CML261",-9.91653594526914,8.39537799186975,2
"CML264",-9.41983749878891,8.55337863682173,2
"CML277",-9.67864286004139,8.63926608013952,2
"CML281",-4.83477120986037,5.64464429532336,2
"CML287",-6.88616817908055,8.18887513520002,2
"CML311",-9.18416682650732,7.57217593363353,2
"CML314",-9.92844222082376,9.18874808829666,2
"CML321",-10.2064399695628,8.9552188269848,2
"CML322",-9.37060015716021,8.84780755575489,2
"CML323",-5.31891135159664,3.76488285905032,2
"CML328",-8.31773687119333,3.30823446564625,2
"CML331",-9.55307703870946,10.6873213214836,2
"CML332",-9.85128035480438,10.0250779075411,2
"CML333",-7.11098579884107,6.02135130731727,2
"CML341",-10.9280150190694,8.72072730205744,2
"CML38",-9.75205184621005,7.22523589886191,2
"CML45",-10.2506188084916,7.77057562775754,2
"CML5",-10.3255111954895,7.9123135142042,2
"CML52",-9.56966526861946,8.4289109701691,2
"CML61",-10.2053353596138,7.46917933368412,2
"CML69",-10.0105342568843,9.32667006537708,2
"CML77",-5.07946446362196,6.22411389901053,2
"CML91",-5.95943284084396,5.18399121720872,2
"CML92",-5.19521823204513,5.47660782124483,2
"CMV3",0.444292273399712,-5.29795302441177,3
"CO106",-0.455795071121396,-5.18364152371452,3
"CO125",-0.911616925386408,-5.94771874349842,3
"CO255",-2.39536471002647,-4.81549842587201,3
"D940Y",-7.04555955322809,-2.7964647435781,2
"DE1",0.495788594996971,-5.90547619626962,3
"DE2",0.87425808261444,-6.35786942904662,3
"DE3",4.34595169331324,-3.84285102496475,3
"DE811",10.8595415408536,-1.77404419693285,3
"E2558W",-2.79523632376834,-1.52377100439427,3
"EP1",-5.40571184380676,-3.01919702995194,3
"F2834T",-3.60116609554602,5.74628433235498,2
"F44",-3.16724088268657,1.12498674840891,3
